INTL_20160320_000001	+1 Entrada de instancia extra para misiones y mazmorras.
INTL_20160320_000002	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor durante 30 días. Botón derecho para usar.{nl}[Beneficios de la Ficha]{nl} - Capaz de aprender hasta 2 atributos simultáneamente{nl} - Comisión de mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Permite publicar hasta 5 artículos en el mercado{nl} - +3 velocidad de movimiento del personaje aumentada{nl} - +30% EXP por cazar monstruos{nl} - Permite utilizar los gestos Premium{nl}- Permite utilizar el Intercambio personal hasta 30 veces{nl}- 1 entrada de instancia extra para misiones y mazmorras.{nl}
INTL_20160320_000003	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor durante 60 días. Botón derecho para usar.{nl}[Beneficios de la Ficha]{nl} - Capaz de aprender hasta 2 atributos simultáneamente{nl} - Comisión de mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Permite publicar hasta 5 artículos en el mercado{nl} - +3 velocidad de movimiento del personaje aumentada{nl} - +30% EXP por cazar monstruos{nl} - Permite utilizar los gestos Premium{nl}- Permite utilizar el Intercambio personal hasta 60 veces{nl}- 1 entrada de instancia extra para misiones y mazmorras.{nl}
INTL_20160323_000004	- Capaz de aprender hasta 2 atributos simultáneamente{nl} - Comisión de mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Permite publicar hasta 5 artículos en el mercado{nl} - +3 velocidad de movimiento del personaje aumentada{nl} - Solo se puede comerciar un máximo de 30 veces{nl}
INTL_20160326_000005	Concede los beneficios de la Ficha a todos tus personajes en el servidor durante 60 días. Botón derecho para usar.{nl}[Beneficios de la Ficha]{nl} - Capaz de aprender hasta 2 atributos simultáneamente{nl} - Comisión de mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Permite publicar hasta 5 artículos en el mercado{nl} - +3 velocidad de movimiento del personaje aumentada{nl} - +30% EXP por cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Permite utilizar los gestos Premium{nl} - Número máximo de encantamientos incrementado{nl} - Permite utilizar el Intercambio personal hasta 60 veces.
INTL_20160326_000006	Ficha: 30 Días
INTL_20160329_000007	10x Caja de pergaminos encantados
INTL_20160329_000008	Contiene 10 Pergaminos encantados. Botón derecho para usar.
INTL_20160329_000009	10x Caja de Megáfonos
INTL_20160329_000010	Contiene 10 Megáfonos. Botón derecho para usar.
INTL_20160419_000011	Úsalo para obtener 455 TP.
INTL_20160419_000012	Úsalo para obtener 266 TP.
INTL_20160419_000013	Úsalo para obtener 112 TP.
INTL_20160419_000014	Haz clic con el botón derecho del ratón para obtener los siguientes objetos:{nl} - 455 TP{nl} - Ficha (60 Días){nl} - Accesorio para el pelo - Muñeca Popolion{nl} - Accesorio para el pelo - Muñeca Hanaming{nl} - Cupón de Acompañante Hoglan{nl} - Poción de restablecimiento de Estadísticas{nl} - Poción de restablecimiento de Habilidades{nl}
INTL_20160419_000015	Haz clic con el botón derecho del ratón para obtener los siguientes objetos:{nl} - 266 TP{nl} - Ficha (30 Días){nl} - Accesorio para el pelo - Muñeca Popolion{nl}
INTL_20180903_000244	{ds}{b}{#ffefd6}30 min.: {#fe7e00}10 PUNTOS